reviewer_id,timestamp,company_name,company_type,company_size,company_address,Review_Length,char_length,word_count,review_content_cleaned,is_review
19c2aa,1 năm trước,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh",199,199,44,"công công ty làm ăn bậy bạ và đâm thọt ạ. mang danh là anh lớn trong ngành truyền thông quảng cáo nhưng lại đi chơi dơ, chơi xấu các công ty khác cùng ngành. nói chung là toàn là đầu trâu mặt ngựa thôi ạ.",TRUE
3a2f1e,2 năm trước,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh",55,55,13,nội dung review đã bị ẩn vì vi phạm điều khoản sử dụng!,FALSE
c241dd,2 năm trước,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh",511,511,110,"trước khi đi phỏng vấn mình cũng lên reviewcompany đọc review của mọi người thế nào, quả đúng như các bạn review một cuộc phỏng vấn chóng vánh 10p đã xảy ra và hrd chỉ chăm chăm hỏi có chứng minh được mức lương hiện tại không sẽ phỏng vấn tiếp , mình xin lỗi nếu vì cam kết bảo mật nên không thể show thông tin công ty cũ và thế là cũng kết thúc buổi phỏng vấn , khuyên các bạn ứng viên không nên mất thời gian vào công ty chỉ chăm chăm bắt bạn chứng minh lương mà không cần phỏng vấn đánh giá năng lực",TRUE
0db280,2 năm trước,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh",343,343,80,"cảm giác như hr là người quyết định ứng viên có được vô hay không chứ không cần biết ứng viên đó tốt hay không, kĩ năng ứng xử quá kém, nếu công ty còn những hr như vậy thì sau này mãi cũng không tuyển được người tốt, mình chưa đọc review, sau khi phỏng vấn ng vô đây đọc mới thấy đúng là việc thì nhiều mà còn bị ép lương, công ty đúng kiểu gia đình chính trị, thôi bye",TRUE
4de6cd,2 năm trước,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh",577,577,125,"cá nhân mình thấy công ty làm việc không hề chuyên nghiệp. headcount không được duyệt trước đó nhưng vẫn cố tình tuyển, tuyển ra offer với ứng viên cho đã đời rồi mới đi xin được duyệt headcount. xin duyệt dc thì có performance cho bạn còn không được thì quay sang huỷ với ứng viên ng xin lỗi rồi thôi á. quy trình của một offer là phải được sự đồng ý của các cấp rồi mới dám xác nhận với ứng viên chứ. có những bạn vì tin tưởng công ty mà reject các bên khác trong thời buổi kinh tế khó khăn này thì sao? hổng thấy ác quá hả. đừng lấy người khác ra làm phép thử của các bạn chứ",TRUE
51dece,2 năm trước,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh",262,262,60,"gửi hơn 20 cái mail cho công ty nhưng không lần nào được phản hồi về việc đi phỏng vấn??? profile 3 năm hơn kinh nghiệm chứ cũng không phải ít, jd yêu cầu chỉ cần 1 năm thôi nhưng vẫn không được hẹn buổi phỏng vấn nào. tự hỏi hr có xem qua hay không quá vô lý, 1 sao",TRUE
20686e,2 năm trước,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh",405,405,93,"chuyện là mình có nộp cv vào nhưng chỉ nhận mail tự động, sau vài ngày thì mình mới mail lại cho hr về cv của mình có reject hong để mình còn nộp chổ mới. và sau 1 tuần rồi vẫn không thấy trả lời. mình nghĩ công ty lớn nên phải có quy trình tuyển dụng cụ thể chứ? mình thấy không hề tôn trọng ứng viên luôn ấy. mọi người thấy lâu quá thì cũng đừng hỏi lại như mình. tốn thời gian lắm nộp nơi khác đi",TRUE
4c8420,2 năm trước,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh",166,166,38,"công ty thường xảy ra nhiều vụ quay lén trong wc , mặc dù thường xuyên báo lên các cấp trên nhưng công ty vẫn mặc kệ, không hề quan tâm bảo vệ quyền lợi của nhân viên",TRUE
c5ad74,3 năm trước,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh",515,515,113,"cư xử thiếu nhân văn, trong email phòng chống dịch nếu ai f0 thì đăng ký 3 ngày đầu là nghỉ bệnh và có giấy chứng nhận nghỉ do covid thì nộp về phòng nhân sự để nhận 75 lương từ bhxh. sau đó thì bắt làm việc tại nhà và hưởng 70 lương. công ty người ta thì trân trọng, hỗ trợ người f0 vẫn làm việc, công ty này thì lợi dụng cắt lương nhân viên. họp đầu năm ngày thứ 2, 14 3 2022, bắt buộc mặc đồng phục và đồng phục thì chiều cn 13 3 2022 mới có, nhân viên trễ thì đòi phạt, còn công ty trễ thì bắt nhân viên chịu khó.",TRUE
24ad83,4 năm trước,DatVietVAC,outsource,301-500,"District 3, Ho Chi Minh",318,318,66,"công ty gia đình, process lằng nhằng, quản lý phong cách việt nam, benefit chả có gì ráo, vào làm là 1 sai lầm. mình làm bên team technical hbt mà thấy bè phái, đấu đá như boxing, nhiều cấp leader không có kinh nghiệm, không có kiến thức mà thích thể hiện, phòng thủ lẫn nhau, suốt ngày chỉ trích, không vui vẻ gì hết.",TRUE
